War,qid,description
Mughal Conquest of the Deccan Sultanates,,
Mughal Conquest of the Delhi Sultanate,,
Mughal Dynastic War,,
Mughal Invasion of Assam,,

Mughal Uzbek Wars,Q131315152,
Mughal War of Succession,Q23039094,1707–1709 civil war in the Mughal Empire

Mughal-Ahmadnagar Wars,,
Mughal-Berad Wars,,
Mughal-Hyderabad Wars,,
Mughal-Maratha War,,
Mughal-Maratha War of Ismail Beg,,
Mughal-Sikh Wars,,
Mughal-Uzbek Wars,Q131315152,
Mukden incident,Q242099,dynamite explosion on railway line near Mukden (Shenyang) in 1931
Muscovite-Lithuanian Wars,Q1567698,1487-1583 series of wars between the Grand Duchy of Lithuania and the Grand Duchy of Moscow

Muslim Civil Wars,,
Muslim Conquest of Egypt,,
Muslim Conquest of Iran,,
Muslim Conquest of Iraq,,
Muslim Conquest of North Africa,,
Muslim Conquest of Northern India,,
Muslim Conquest of Sindh,Q112182472,Umayyad conquest of Sindh in 711
Muslim Conquest of Spain,,
Muslim Conquest of Syria,Q248984,7th-century conquest by the Rashidun Caliphate
Muslim Invasion of France,,

Napoleonic Wars,Q78994,1803–1815 wars involving the French Empire
Natal War,,



Neapolitan-Byzantine War,,
Neapolitan-Papal War,,
Netherlands War,Q2797811,Dutch foundation
New Zealand Wars,Q1545405,1845–1872 armed conflicts in New Zealand
Nez Perce War,Q1456086,war
Nicaraguan Colonial War,,
Nicaraguan-Honduran War,,
Nigerian Civil War,Q829875,violent conflict within Nigeria
Nike Insurrection,,
Nine Years War,,
Nine Years' War (Ireland),,
Ningxia Mutiny,,
Norman Conquest of Britain,,
Norman Conquest of Sicily,Q135172832,1061–1091 conquest
Norman Conquest of Southern Italy,Q74011,historical event in the European Middle Ages

Norman Dynastic Wars,,
Norman-Papal War,,
North African War of Louis XIV,,
North-West Rebellion,Q1506788,1885 resistance by the Métis and Cree peoples against Canada
Northern Crusades,Q51662,12th/13th century crusades around the Baltic Sea
Northern Seven Years' War,Q158677,16th-century war fought in Scandinavia
Northern War,Q2470023,"1845–46 conflict between the British Empire and Māori warriors in Northland, New Zealand"

Northern and Southern Dynasties period conflicts,,

Norwegian Invasion of England,,
Norwegian Invasion of Scotland,,
Norwegian Wars of Succession,,
Numantian War,,
O'Donnell's Rebellion,,
O'Neill Rebellion,,
Ogden War,Q318250,1977-78 Somali military offensive over the disputed Ogaden region of Ethiopia
Old Zurich Wars,,
Oman Revolt,,
Opium War,Q1071212,2008 film by Siddiq Barmak
Orange Free State War,,
Ottoman Civil Wars,,
Ottoman Conquest of Persia,,
Ottoman Conquest of the Balkans,,
Ottoman Invasion of Montenegro,,

Ottoman Saudi War 1818,,

Ottoman-Mamluk War,,
Ottoman-Persian Wars,,
Ottoman-Turcoman War,,
Ottoman-Venetian wars,Q1420791,series of wars in the 14th–18th century
Ottoman-Wahhabi War,,
Ottoman-Wallachian wars,Q10706569,






Padua-Verona War,,

Pancho Villa Expedition,Q1926257,1916 U.S. military operation against revolutionary forces in northern Mexico
Papal-Imperial Wars,,
Paraguayan Civil War of 1947,Q1122422,1947 civil war in Paraguay
Paraguayan War,Q58947,large-scale conflict in South America (1864–1870)
Paraguayan War of Independence,,
Paris Commune,Q133132,revolutionary city council of Paris in 1871
Pastry War,Q856168,war between France and Mexico
Pathan Rising,,
Pathan War,,
Peasants War,Q134967929,2020 video game developed by New Companion
Peloponnesian War,Q33745,war fought between Athens and Sparta (431–404 BCE)

Percy's Rebellion,,
Pergamum-Seleucid Wars,,

Persian Civil War,Q63156812,1779-1794 civil war
Persian Invasion of Egypt,,
Persian Invasion of India,,
Persian Reconquest of Khorasan,,
Persian War of Succession,Q74013105,Wikimedia disambiguation page


Persian-Afghan Wars,,
Persian-Arab Wars,,
Persian-Babylonian War,,
Persian-Georgian War,,
Persian-Georgian Wars,,
Persian-Lydian War,,
Persian-Mughal Wars,,
Persian-Parthian War,,

Persian-Turkoman Wars,,
Persian-Uzbek Wars,Q7170193,series of conflicts 1502-1510
Peruvian Civil War,Q852133,armed conflict in Peru during 1980-2000 of left insurgent groups (Shining Path and MRTA) against Peruvian governments and far-right death squats

Peruvian War,Q68478,"1811–1824 war between Spanish Royalists and Patriot forces, which led to the Independence of Peru"
Peruvian War of Independence,Q68478,"1811–1824 war between Spanish Royalists and Patriot forces, which led to the Independence of Peru"
Peruvian-Spanish War,,
Philippine Revolution,Q422082,1896–1898 conflict against Spanish colonial authorities
Philippine-American War,Q214456,armed conflict between the First Philippine Republic and the United States


Philistine-Israeli Wars,,

Pisacane Rebellion,,

Platine Wars,Q10356223,time period in Brazilian historiography
Polish Bohemian War,Q54286075,


Polish Moldavian War,Q3778712,1497 war
Polish Rebellion,,
Polish Rising,,
Polish Tatar Rebellion,,

Polish-Czechoslovak War,,
Polish-German Wars,,

Polish-Russian War (1654-1667),,
Polish-Soviet War,Q11698947,Unit of the Polish Army during the Polish–Soviet War
Polish-Swedish War of 1600-1629,,
Polish-Tatar Wars,,
Polish-Teutonic Wars,,

Pontiac's War,Q179077,"1763 war launched by Native American tribes primarily from the Great Lakes region, the Illinois Country, and Ohio country against Kingdom of Great Britain"



Portuguese Colonial Wars in Africa,,
Portuguese Colonial Wars in Asia,,
Portuguese Colonial Wars in East Africa,,
Portuguese Colonial Wars in North Africa,,
Portuguese Colonial Wars in West Africa,,
Portuguese War of Succession,,
Portuguese Wars in Africa,,
Portuguese-Castilian War,,
Portuguese-Dutch Colonial Wars,,
Portuguese-Maratha War,,

Pueblo Rising,,
Pugachev Rebellion,,
Punic Wars,Q124988,"series of three wars fought between Rome and Carthage from 264 BC to 146 BC, at the time probably the largest wars that had ever taken place"
Punjab Campaigns of Shah Zaman,,
Punjab Disturbances,Q7260250,court inquiry into political turmoil around Ahmadiyya


Pyrrhic War,Q596373,war
Quasi-War,Q655480,1798-1800 naval war during the French Revolutionary Wars

Queen Anne's War,Q869045,North American theater of the War of the Spanish Succession


Reapers War,,
Rebellion of Prince Shahjahan,,

Rebellion of the Marches,,
Rebellion of the Three Guards,Q7797508,11th-century BC conflict
Red Cloud's War,Q2060306,"1866 to 1868 war between the U.S. and Lakota, Northern Cheyenne, and Northern Arapaho"

Revolution of 1904,,
Riel Rebellion,Q7333111,Wikimedia disambiguation page
Rif War,Q766437,1921–1926 war between Spain and Berber tribes of Morocco
Rise of Argos,,
Rise of Charles Martel,,
Rise of Robert the Bruce,,
Rise of Russia,,
Rise of Sokoto,,
Rise of William of Normandy,,
Rise of the Ming Dynasty,,
Rise of the Tang Dynasty,,
Rogue River War,Q1382989,war in the Rogue River Valley in Oregon; part of the American Indian Wars
Rohilla War,Q86750624,Wikimedia disambiguation page
Roman Civil Wars,Q1747183,civil conflicts within ancient Rome
Roman Conquest of Britain,Q1258062,1st century AD invasion of Britain by the Romans
Roman Invasion of Britain,Q1258062,1st century AD invasion of Britain by the Romans

Roman Pontian Wars,,

Roman Syrian War,,

Roman Wars of Succession,,
Roman-Achaean War,,

Roman-Aequian wars,Q15054314,Series of wars between the ancient Romans and the Aequi
Roman-Etruscan Wars,Q3119190,series of wars between the Romans and the Etruscans
Roman-Frankish Wars,,
Roman-Germanic Wars,,
Roman-Nubian War,,

Roman-Palmyrean War,,
Roman-Parthian Wars,Q1192043,series of conflicts between the Parthian Empire and the Roman Republic and Roman Empire
Roman-Persian Wars,Q500409,series of wars between ancient Greco-Roman and Iranian states
Roman-Pontian Wars,,
Roman-Spartan War,,
Roman-Syrian War,,
Roman-Vandal Wars,,



"Rome, Sarus the Goth, Uldin the Hun",,
Royalist Rising,,
Russia,Q159,country in Eastern Europe and Northern Asia
Russia's Volga Wars,,
Russian Civil War,Q79911,"multi-sided civil war in the former Russian Empire, November 1917-October 1922"
Russian Conquest of Alaska,,
Russian Conquest of Siberia,Q735349,process of incorporation Siberia and Northern Far East into Russia since 1550s untill 1700s
Russian Conquest of the Caucasus,Q23039096,19th-century conquest of the Caucasus by the Russian Empire
Russian Dynastic Wars,,
Russian Invasion of Crimea,Q15833607,2014 invasion of Ukraine by Russia
Russian Invasion of Moldavia,,
Russian Invasion of the Caspian,,



Russian conquest of Central Asia,,
Russian-Mongol Wars,,


Russo-Afghan War,,
Russo-Finnish War,Q3916827,series of wars between the USSR and Finland

Russo-Japanese War,Q159950,conflict between the Russian and Japanese empires from 1904 to 1905
Russo-Ming War,,
Russo-Persian Wars,Q8543350,series of wars between Persia and Russia


Russo-Swedish Wars,Q278709,series of wars between 12th and 19th century

Russo-Turkish Wars,Q743046,series of wars in the 17th–19th century

Sack of Havana,,
Sack of Mecca,Q119295176,Qarmatian sack of Mecca
Saga Rebellion,Q2446765,1874 anti-Meiji uprising in Japan
Samnite War,Q109251,series of wars between the early Roman Republic and the Samnites on the Italian Peninsula
Samnite Wars,Q109251,series of wars between the early Roman Republic and the Samnites on the Italian Peninsula
Santo Domingo Rising,,
Sapoa Revolution,,
Satsuma Rebellion,Q714820,"revolt of disaffected samurai against the new imperial government, nine years into the Meiji Era"
Saudi-Hashemite Wars,,
Saudi-Rashidi War,,
Saudi-Yemeni War,Q47016040,Wikimedia disambiguation page
Saxon Wars,Q499909,campaigns and insurrections (772–804) between the Carolingian Empire and Saxons in what is now northwestern Germany; resulted in the incorporation of Saxony into the Frankish realm and their forcible conversion from Germanic paganism to Catholicism
Scandinavian National Wars,,
Scania War,,
Schmalkaldic War,Q168556,16th-century conflict of the Protestant Reformation in the Holy Roman Empire
Scottish Baron's Rebellion,,
Scottish Barons Rebellion,,
Scottish Clan Wars,,
Scottish Covenanter Rebellion,,
Scottish Dynastic Wars,,
Scottish Royalist War,,
Scottish War,Q7438130,Review of the topic
Scottish War of Succession,,
Second Anglo-Afghan War,Q233507,1878–1880 war between the British Empire and the Emirate of Afghanistan
Second Anglo-Burmese War,Q233500,war between imperial Britain and Burma in the 19th century
Second Anglo-Maratha War,Q233642,conflict between the British East India Company and the Maratha Empire
Second Anglo-Mysore War,Q233663,war
Second Anglo-Sikh War,Q243590,1848-1849 war in the Pubjab
Second Balkan War,Q184183,"continuation of the First Balkan War in which Bulgaria fought Serbia, Greece, Romania and the Ottoman Empire"

Second Boer War,Q215112,war between two Boer Republics (South African Republic and Orange Free State) and the United Kingdom
Second Carnatic War,Q233601,war
Second Chechen War,Q120843,war in Chechnya
Second Franco-Dahomean War,Q2090475,conflict between France and the Kingdom of Dahomey (1892-1894)
Second Honduran Civil War,Q6123725,1924 civil war
Second Italian War of Independence,Q540978,"1859 conflict, part of the Italian unification (Risorgimento)"
Second Italo-Ethiopian War,Q94916,1935-1936 war between Italy and Ethiopia
Second Italo-Senussi War,,
Second Macedonian War,Q75665,war
Second Madagascar expedition,Q4127978,"French military intervention which took place in 1894-1895, sealing the conquest of the Merina Kingdom on the island of Madagascar by France"
Second Opium War,Q418151,1856 - 1860 War between British Empire and China
Second Partition of Poland,Q3025374,1793 division of Poland
Second Revolution (Republic of China),,
Second Schleswig War,Q154981,second military conflict as a result of the Schleswig-Holstein Question
Second Sino-Japanese War,Q170314,Japanese invasion of China (1937–1945)
Second Zhili-Fengtian War ,,
Second Zulu Civil War,,
Seleucid Dynastic War,Q19845460,wars of succession

Seljuk Wars of Expansion,,
Seminole Wars,Q900693,19th-century wars between the United States Army and the Seminole people of Florida
Serbian Imperial Wars,,

Serbo-Bulgarian War,Q740791,1885 war between Serbia and Bulgaria
Sertorian War,Q3778726,Roman civil war of the First Century BCE
Servile War,Q11475544,series of wars during the Roman Republic

Seven Years War,Q33143,global war among European powers (1756–1763)
Shaba War,,
Shays Rebellion,Q392601,armed uprising among farmers in Massachusetts between 1786 to 1787



Siamese Laotian Wars,,
Siamese invasions of Malacca,Q133696039,1447–1456 invasions
Siamese-Cambodian Wars,,
Siamese-Vietnamese wars,Q10788706,armed conflicts between the Siamese kingdoms and various Vietnamese dynasties
Sicilian Wars,Q1235331,series of conflicts (580–265 BCE) between Carthage and Syracuse over control of Sicily
Sikkim Expedition,Q16890896,1888 British military expedition to expel Tibetan forces from Sikkim
Simnels Rebellion,,
Sino-Burmese War,Q3237019,1765 Qing-Konbaung conflict
Sino-French War,Q706183,limited conflict (1881–1885) between France and China
Sino-Indian War,Q208694,1962 border conflict between China and India
Sino-Japanese War,Q178687,"1894–1895 war between the Qing dynasty and the Empire of Japan over influence in Joseon, fought chiefly in Joseon"
Sino-Korean War,Q16876111,Wikimedia disambiguation page
Sino-Soviet conflict (1929),,
Sioux Indians,Q20441352,painting by George Catlin
Sioux Wars,Q3778746,conflicts between the USA and subgroups of the Sioux people from 1854–1890
Six Dynasties,Q1197281,period of Chinese history (220–589)
Six-Day War,Q49077,"1967 war between Israel and Egypt, Jordan, and Syria"
Sixteen Kingdoms,Q683551,period of Chinese history from 304 to 439
Social War,Q677316,91-87 BCE war between the Roman Republic and its rivals

Sogdian Rock,Q1887690,"fortress located north of Bactria in Sogdiana (near Samarkand), was captured by the forces of Alexander the Great in the early spring of 327 BC as part of his conquest of the Achaemenid Empire"
Somalian Civil War,,
Somaliland campaign,,
Sonderbund War,Q688297,civil war in Switzerland in November 1847
Song-Xia wars,,
South Yemeni crisis,,
Soviet-Japanese border conflicts,,
Spanish Civil War,Q10859,war between the Republicans and the Nationalists in Spain from 1936 to 1939

Spanish Colonial Wars in North Africa,,


Spanish Revolution,Q1982745,workers' social revolution
Spanish Territorial Wars,,

Spanish-American War,Q12583,1898 conflict between Spain and the United States
Spanish-Portuguese War,Q4204142,1776-1777 war fought over the border between Spanish and Portuguese South America




Suebi-Vandal War,Q96749450,
Suez Crisis,Q49101,"1956 invasion of Egypt by Israel, the United Kingdom, and France"

Sumitomo Uprising,,
Suri-Bengal War,,
Swabian War,Q165136,war in 1499
Swedish War,Q688308,rebellion and a civil war in which the Swedish nobleman Gustav Vasa successfully deposed the king Christian II as regent of the Kalmar Union in Sweden
Swedish Wars of Succession,,
Swiss Peasant War,Q670936,peasant revolt

Swiss-Milanese Wars,,
Syrian Wars,Q1330607,series of wars between Egypt and the Seleucid Empire in Syria (274-168 BCE)
Taiping Rebellion,Q192408,Qing Dynasty era rebellion (1851–1864)
Taiping War,Q192408,Qing Dynasty era rebellion (1851–1864)
Tang Imperial Wars,,
Tecumseh's Confederacy,Q717738,19th Century Native American confederation in the Great Lakes region
Ten Years' War,Q184637,armed conflict in Cuba between 1868 and 1878
Texas Revolution,Q638530,"war between Texans and Mexico, 1835-1836, resulting in the independent Republic of Texas"





Thai Invasion of Cambodia,,
The Kronstadt Rebellion,Q19958692,book by Alexander Berkman
Third Anglo-Afghan War,Q1259237,1919 war between the British Empire (India) and the Emirate of Afghanistan
Third Anglo-Burmese War,Q1209946,19th century war between the Burmese and the British
Third Anglo-Maratha War,Q617210,conflict between the British East India Company and the Maratha Empire (1817–1819)
Third Anglo-Mysore War,Q617350,conflict between the Kingdom of Mysore and the East India Company and its allies
Third Italian War of Independence,Q1248722,"1866 conflict, part of the Italian unification (Risorgimento)"
Third Macedonian War,Q76118,war between the Roman Republic and King Perseus of Macedon
Third Punic War,Q6334,war between the Roman Republic and Carthage between 149 and 146 BCE
Third Sacred War,Q1249270,war with Phocians over Delphi
Third Servile War,Q194378,major slave rebellion against the Roman Republic (73-71 BCE)
Third Zulu Civil War,,
Thirty Years War,Q2487,war principally fought in Central Europe from 1618 to 1648
Thousand Days' War,Q43378,1899–1902 civil war in Colombia
Tiepolos Rebellion,,
Timoleons War,,
Timurid conquests and invasions,Q65121240,wars and campaigns of Timurids
Towns War,,
Trajan's First Dacian War,Q56045338,scientific article published in November 1918
Trajan's Second Dacian War,,
Transylvanian National Revolt,,
Transylvanian Peasant War,,
Transylvanian peasant revolt,Q833441,Revolt in Transylvania
Tripolitan War,Q468293,war against Barbary pirates
Trojan War,Q42937,legendary war in Greek mythology
Turkish Invasion of Cyprus,Q1050999,1974 military conflict on Cyprus Island
Turkish War,Q234738,war fought between the Turkish National Movement and the Entente and their proxies
Uganda-Tanzania War,Q202465,1978–1979 armed conflict in East Africa
United States expedition to Korea,Q485415,1871 American expedition to open up trade
United States invasion of Grenada,Q501866,1983 conflict in Grenada involving US and Cuban led forces
United States invasion of Panama,Q459282,1989 conflict in Panama involving the United States and the Panamanian Defense Force
Uruguayan Civil War,Q2672972,1839-1851 civil war in Uruguay
Uruguayan War,Q3042463,1864–1865 war between Brazil and Uruguay
Vandalic War,Q1136575,6th-century war of reconquest by the Eastern Roman Empire in North Africa
Vellore Mutiny,Q1926145,1806 revolt against the East India Company


Venezuelan War,Q8934,Venezuelan section of the Spanish American war of independence
Venezuelan War of Independence,Q8934,Venezuelan section of the Spanish American war of independence
Vietnam War,Q8740,"armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam, from 1955 to 1975"
Vijayanagar-Gajapati War,,
Viking Expansion,Q3733063,"exploration, settlement, and raids performed by Norse population"
War against Malabar Pirates,,
War in Afghanistan,Q182865,armed conflict between NATO countries and Afghanistan since 2001
War of 1812,Q26013,conflict between the United States and the British Empire from 1812 to 1815
War of Canudos,Q2350166,1895–1898 internal conflict in Brazil
War of Castillian Succession,,
War of Chioggia,Q1074467,war
War of Devolution,Q25857,war between France and Spain for the Spanish Netherlands (1667–1668)
War of Flemish Succession,,
War of Independence,Q40949,"1775–1783 war between Great Britain and the Thirteen Colonies, which won independence as the United States of America"
War of Kalmar,,
War of Leonese Succession,,
War of Liberation,Q609836,1961–1974 armed conflicts in Africa between Portugal and independence movements
War of Melilla,,
War of Spanish Succession,,
War of Welsh Succession,,
War of the American Revolutio,Q40949,"1775–1783 war between Great Britain and the Thirteen Colonies, which won independence as the United States of America"
War of the Austrian Succession,Q32929,1740–1748 war
War of the Brothers,Q42044165,
War of the Castilian Succession,Q282135,military conflict contested from 1475 to 1479
War of the Castillian Succession,,
War of the Chioggia,,
War of the Confederation,Q601811,war in South America between 1836 and 1839

War of the Desert,,
War of the German Reformation,,

War of the Holy League,Q74623,"series of conflicts (1683–1699) between the Ottoman Empire and the Holy League (Habsburg Empire, Poland-Lithuania, Venice, Russia), ending with the latter's victory"
War of the Japanese Emperors,,
War of the League of Cambrai,Q636365,conflict in the Italian Wars of 1494–1559
War of the Meiji Restoration,,
War of the Mughal Princes,,
War of the Pacific,Q152004,war between Chile and a Bolivian–Peruvian alliance
War of the Polish Succession,Q212658,war in Europe 1734–1738
War of the Quadruple Alliance,Q221941,"war (1717–1720) between Spain and the Quadruple Alliance (Britain, France, Austria, the Dutch Republic), resulting in a draw, returning to the previous territorial situation through the Treaty of The Hague en la que España se follo a toda europa"
War of the Roses,Q723223,2012 video game
War of the Sicilian Vespers,Q2599340,"conflict from 1282-1302 between various French, Spanish, and Italian kingdoms"
War of the Spanish Succession,Q150701,major European conflict (1700–1714) after the death of Charles II
War of the Swabian League,,
War of the Three Sanchos,Q1218354,Medieval war in the Iberian Pennisula
Warring States Period in Japan,,
Wars in Lombardy,Q2506432,wars in Northern Italy in the first half of the 15th century.
Wars of Alexander the Great,Q551888,"conflicts fought by King Alexander III of Macedon (""The Great""), against other Greek powers, the Persian Empire and warlords as far east as India"
Wars of Charlemagne,,
Wars of China's Spring and Autumn Era,,
Wars of Russian Succession,,
Wars of Scandinavian Union,,
Wars of Sosso,,
Wars of the Achaean League,,
Wars of the Achean League,,
Wars of the Catalan Company,,
Wars of the Deccan Sultanate,,
Wars of the Delhi Sultanate,,
Wars of the Diadochi,Q2912306,series of conflicts after the death of Alexander the Great
Wars of the Five Dynasties,,
Wars of the Former Han,,
Wars of the Great Seljuk Sultanate,,

Wars of the Roses,Q127751,dynastic civil war in England from 1455 to 1487
Wars of the Songhai Empire,,

Wars of the Three Kingdoms,Q2577772,"British civil wars, 1639–1651"
Waziristan campaign,Q7976949,operations conducted by the British and Indian Armies in Waziristan in 1919–20
Welsh Dynastic War,,
West Florida Controversy,Q17041519,two border disputes that involved Spain and the United States
Western Rebellion,Q499763,popular revolt in Devon and Cornwall in 1549
Western Sahara War,Q1093550,conflict between rebels in Sahara and Morocco between 1975 and 1991. It began again in 2020
Western Zhou,Q1069609,"Chinese dynasty (c.1046-c,771 BCE)"
World War I,Q361,"global war originating in Europe, 1914–1918"
World War II,Q362,1939–1945 global conflict

Xhosa Wars,Q582594,series of conflicts
Yakima War,Q3119015,conflict between the United States and the Yakama

Yom Kippur War,Q49100,October 1973 war between Egypt and Syria at one side and Israel on the other side
Yugoslav Wars,Q242352,1991–2001 series of wars and ethnic conflicts that took place on the lands of the former Yugoslavia
Zanj Rebellion,Q759988,slave revolt against the Abbasid Caliphate
Zebrzydowski Rebellion,Q581254,1609 rebellion in the Polish-Lithuanian Commonwealth
Zhili-Anhui War,,
Zulu Rebellion,Q3274751,"Uprising in the colony of Natal, South Africa, in 1906, led by Bambatha, deposed chief of the Zondi tribe; often referred to as the poll tax rebellion"
the Scottish War,Q59547131,doctoral thesis by Ranald George Nicholson
x,Q918,American social networking service founded in 2006


